year,admin,edition,n,chapters,mb,status,note
1989,노태우,1990 외교백서,8,"1,2,3,4,5,6",9.0,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
1990,노태우,1991 외교백서,8,"1,2,3,4,5,6",9.4,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
1991,노태우,1992 외교백서,7,"1,2,3,4,5",8.8,OCR필요,스캔본. 제6장 없음 — 원래 5장인지 누락인지 미확정
1992,노태우,1993 외교백서,8,"1,2,3,4,5,6",8.0,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
1993,김영삼,1994 외교백서,10,"1,2,3,4,5,6,7,8",6.1,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
1994,김영삼,1995 외교백서,10,"1,2,3,4,5,6,7,8",8.4,OCR필요,스캔본. 제1장 파일이 머리말과 동일 — 제1장 내용 없음
1995,김영삼,1996 외교백서,9,"1,2,3,4,5,6,7,8",9.6,OCR필요,스캔본. 부록 없음
1996,김영삼,1997 외교백서,8,"1,2,3,4,5,6",12.1,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
1997,김영삼,1998 외교백서,7,"1,2,3,4,5,6",0.9,사용가능,.doc. 제1~6장 — 제7장 유무 미확정
1998,김대중,1999 외교백서,9,"1,2,3,4,5,6,7",1.2,사용가능,.doc. 제1~7장
1999,김대중,2000 외교백서,9,"1,2,3,4,5,6,7",0.9,사용가능,HWP 5.0. 제1~7장 — 제8·9장 유무 미확정
2000,김대중,2001 외교백서,10,"1,2,3,4,5,6,7,8,9",0.5,사용가능,HWP 5.0. 제1~9장
2001,김대중,2002 외교백서,10,"1,2,3,4,5,6,7,8,9",0.6,사용가능,HWP 5.0. 제9장 파일이 제4장과 동일 — 제9장 내용 없음
2002,김대중,2003 외교백서,10,"1,2,3,4,5,6,7,8,9",0.7,파서필요,HWP 3.0 — OLE가 아닌 별도 형식. 전용 파서 필요
2003,노무현,2004 외교백서,10,"1,2,3,4,5,6,7,8,9",16.1,사용가능,
2004,노무현,2005 외교백서,5,"1,2,3",14.0,손상,파일 자체가 비정상. 본문 23쪽뿐이고 제4장 이후 없음. 대체 경로 필요
2005,노무현,2006 외교백서,8,"1,2,3,4,5,6",10.0,사용가능,제4장 파일이 제1장과 동일 — 제4장 내용 없음
2006,노무현,2007 외교백서,8,"1,2,3,4,5,6",10.3,사용가능,
2007,노무현,2008 외교백서,9,"1,2,3,4,5,6,7",13.7,사용가능,제7장 파일이 부록과 동일 — 제7장 내용 없음
2008,이명박,2009 외교백서,9,"1,2,3,4,5,6,7",33.4,사용가능,
2009,이명박,2010 외교백서,8,"1,2,3,4,5,6,7",45.6,사용가능,
2010,이명박,2011 외교백서,8,"1,2,3,4,5,6,7",6.9,사용가능,
2011,이명박,2012 외교백서,8,단일파일,30.4,사용가능,
2012,이명박,2013 외교백서,8,"1,2,3,4,5,6,7",12.1,사용가능,
2013,박근혜,2014 외교백서,8,"1,2,3,4,5,6,7",51.0,사용가능,
2014,박근혜,2015 외교백서,8,단일파일,69.9,사용가능,
2015,박근혜,2016 외교백서,8,단일파일,51.0,사용가능,
2016,박근혜,2017 외교백서,8,단일파일,22.1,사용가능,
2017,문재인,2018 외교백서,9,단일파일,95.9,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
2018,문재인,2019 외교백서,8,"1,2,3,4,5,6,7",15.6,사용가능,
2019,문재인,2020 외교백서,9,"1,2,3,4,5,6,7",145.5,OCR필요,"스캔 이미지 PDF, 텍스트 레이어 없음"
2020,문재인,2021 외교백서,1,단일파일,16.9,사용가능,
2021,문재인,2021 국제정세와 외교활동,1,단일파일,2.6,사용가능,
2022,윤석열,2022 국제정세와 외교활동,1,단일파일,31.6,사용가능,
2023,윤석열,2023 국제정세와 외교활동,1,단일파일,37.8,사용가능,
2024,윤석열,2024 국제정세와 외교활동,1,단일파일,36.5,사용가능,
2025,이재명,2025 국제정세와 외교활동,1,단일파일,38.4,사용가능,
