# 기조 절의 항목 — 사람이 원문을 보고 옮겨 적는다.
#
# ordinal 은 **문서에 인쇄된 번호** 다. 우리가 계산한 값이 아니다(스펙 §1).
# ordinalSource 는 그 번호를 어느 절에서 가져왔는지다:
#   기조절  — 「외교정책 기조」 절 안에 번호(또는 서수 낱말·글머리 기호)가 있다
#   시책절  — 기조 절이 산문이라 번호가 없어, 같은 항목을 번호로 받은 「주요 외교시책」 절에서 가져왔다
# 두 절이 1:1로 대응하는지는 사람이 해마다 확인한다.
#
# quote 는 원문 그대로여야 한다. verify.py 가 text/<연도>.txt 와 글자 단위로
# 대조하고, 하나라도 어긋나면 빌드를 멈춘다.
# 원문 중간에 쪽 머리글이 끼어드는 자리는 (…) 로 끊는다 — 생략 표시이자
# '여기서 쪽이 넘어간다'는 기록이다.
#
# flags: title-lost | from-preface | partial | ocr | lead-only
#
id	coverageYear	ordinal	ordinalSource	title	quote	stream	srcEdition	srcChapter	srcSection	srcPage	flags
1998-1	1998	1	시책절	경제위기 극복 및 재도약 기틀 마련	1998년의 우리 외교는 국정 최대의 현안이었던 '경제위기 극복 및 재도약 기틀 마련'을 비롯하여 '한반도 평화정착 및 포괄적 안보체제 구축', '문화외교 활성화로 국가이미지 제고', '재외동포의 권익보호 및 자조노력 지원'의 4대 기조를 설정하고 이를 적극 추진하였다.	economy	1999 외교백서	2	1		lead-only
1998-2	1998	2	시책절	한반도 평화정착 및 포괄적 안보체제 구축	1998년의 우리 외교는 국정 최대의 현안이었던 '경제위기 극복 및 재도약 기틀 마련'을 비롯하여 '한반도 평화정착 및 포괄적 안보체제 구축', '문화외교 활성화로 국가이미지 제고', '재외동포의 권익보호 및 자조노력 지원'의 4대 기조를 설정하고 이를 적극 추진하였다.	peninsula	1999 외교백서	2	1		lead-only
1998-3	1998	3	시책절	문화외교 활성화로 국가이미지 제고	1998년의 우리 외교는 국정 최대의 현안이었던 '경제위기 극복 및 재도약 기틀 마련'을 비롯하여 '한반도 평화정착 및 포괄적 안보체제 구축', '문화외교 활성화로 국가이미지 제고', '재외동포의 권익보호 및 자조노력 지원'의 4대 기조를 설정하고 이를 적극 추진하였다.	public-diplomacy	1999 외교백서	2	1		lead-only
1998-4	1998	4	시책절	재외동포의 권익보호 및 자조노력 지원	1998년의 우리 외교는 국정 최대의 현안이었던 '경제위기 극복 및 재도약 기틀 마련'을 비롯하여 '한반도 평화정착 및 포괄적 안보체제 구축', '문화외교 활성화로 국가이미지 제고', '재외동포의 권익보호 및 자조노력 지원'의 4대 기조를 설정하고 이를 적극 추진하였다.	overseas-koreans	1999 외교백서	2	1		lead-only
1999-1	1999	1	기조절	한반도 평화와 안정 정착을 위한 외교	1999년도 주요외교정책 과제로서 '한반도 평화와 안정 정착을 위한 외교', '경제재도약 및 시장경제 정착을 위한 외교', '인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교', '국가이미지 제고를 위한 문화외교', '재외동포의 권익보호 및 자조노력 지원' 등을 설정하고 이를 적극 추진하였다.	peninsula	2000 외교백서	2	1		lead-only
1999-2	1999	2	기조절	경제재도약 및 시장경제 정착을 위한 외교	1999년도 주요외교정책 과제로서 '한반도 평화와 안정 정착을 위한 외교', '경제재도약 및 시장경제 정착을 위한 외교', '인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교', '국가이미지 제고를 위한 문화외교', '재외동포의 권익보호 및 자조노력 지원' 등을 설정하고 이를 적극 추진하였다.	economy	2000 외교백서	2	1		lead-only
1999-3	1999	3	기조절	인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교	1999년도 주요외교정책 과제로서 '한반도 평화와 안정 정착을 위한 외교', '경제재도약 및 시장경제 정착을 위한 외교', '인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교', '국가이미지 제고를 위한 문화외교', '재외동포의 권익보호 및 자조노력 지원' 등을 설정하고 이를 적극 추진하였다.	global-role	2000 외교백서	2	1		lead-only
1999-4	1999	4	기조절	국가이미지 제고를 위한 문화외교	1999년도 주요외교정책 과제로서 '한반도 평화와 안정 정착을 위한 외교', '경제재도약 및 시장경제 정착을 위한 외교', '인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교', '국가이미지 제고를 위한 문화외교', '재외동포의 권익보호 및 자조노력 지원' 등을 설정하고 이를 적극 추진하였다.	public-diplomacy	2000 외교백서	2	1		lead-only
1999-5	1999	5	기조절	재외동포의 권익보호 및 자조노력 지원	1999년도 주요외교정책 과제로서 '한반도 평화와 안정 정착을 위한 외교', '경제재도약 및 시장경제 정착을 위한 외교', '인류 보편적 가치 신장 및 범세계적 문제해결에 기여하는 외교', '국가이미지 제고를 위한 문화외교', '재외동포의 권익보호 및 자조노력 지원' 등을 설정하고 이를 적극 추진하였다.	overseas-koreans	2000 외교백서	2	1		lead-only
2000-1	2000	1	시책절	한반도 냉전 종식과 평화공존 외교	우리 정부는 2000년도에도 대북 화해 협력정책의 기본틀 하에서 한반도 냉전종식과 평화공존 외교를 주요 외교시책의 하나로 설정하고 아래 세가지 방향에서 이를 추진하였다.	peninsula	2001 외교백서	2	2		
