# 발간분 대장 — 사람이 확인해 적는다.
#
# 이 표의 markStyle 컬럼 자체가 자료다. '정부가 자기 항목에 이름 붙이는 방식'의
# 연대기이기 때문이다(스펙 §6). 28년 동안 표기가 일곱 번 바뀌었다.
#
# status:  verified(전체 원문 대조) / partial(일부만) / from-preface(발간사에서)
#          pending(아직 안 함) / blocked(원본이 없거나 못 읽음)
#          no-section(그 판에 기조 절 자체가 없다)
#
# pending·blocked·no-section 은 화면에서 서로 다르게 보여야 한다.
# '아직 안 채운 것' / '원본이 망가진 것' / '원래 없는 것' 은 다른 사실이다.
#
# markStyle: number | ordinal-word(첫째·둘째) | bullet(▲) | inline-lead(문장 속 나열)
#            prose | roman(정책목표 Ⅰ~Ⅴ) | circled(①~⑤) | heading(번호 없는 소제목)
#
coverageYear	title	publishedYear	administration	brand	chapter	section	label	pages	markStyle	status	sourceFiles	note
1998	1999 외교백서	1999	김대중	국민의 정부	2	1	1998년도 외교정책 기조		inline-lead	verified	1999 외교백서 제2장.doc	4대 기조. **한반도가 1번이 아니라 2번이다** — IMF 직후라 경제위기 극복이 앞에 온다
1999	2000 외교백서	2000	김대중	국민의 정부	2	1	1999년도 외교정책 기조		inline-lead	verified	2000 외교백서 제2장.hwp	주요 외교목표를 먼저 서술하고 '주요외교정책 과제' 5개를 문장 속에 나열한다
2000	2001 외교백서	2001	김대중	국민의 정부	2	1	2000년도 외교정책 기조		prose	verified	2001 외교백서 제2장.hwp	기조 절은 산문이고 '10가지 과제'라 하는데 나열된 구는 11개다. 번호는 제2절 시책(5개)에서 가져왔다 — 두 셈이 맞지 않는다
2001	2002 외교백서	2002	김대중	국민의 정부	2	1	2001년도 외교정책 기조		ordinal-word	partial	2002 외교백서 제2장.hwp	첫째~여섯째까지 확인. 일곱째 이후가 있는지 미확인
2002	2003 외교백서	2003	김대중	국민의 정부	2	1	2002년도 외교정책 기조	129	prose	verified	2003 외교백서 제2장.hwp	기조 절이 통째로 산문이라 번호가 없다. 제2절 시책의 인쇄된 번호 6개를 쓴다. HWP 3.0 파서로 읽음
2003	2004 외교백서	2004	노무현	평화번영정책	2	1	2003년도 외교정책 기조	151	ordinal-word	verified	2004 외교백서 제2장.pdf	첫째~여덟째. 제2절 시책의 번호와 1:1로 대응한다
2004	2005 외교백서	2005	노무현	평화번영정책	1	2	2004년도 외교정책의 기조	24	ordinal-word	verified	2005 외교백서 제1장.pdf	첫째~아홉째. **MANIFEST는 본문 손상이라 했으나 제1장은 온전하다** — 발간사 대체가 필요 없다
2005	2006 외교백서	2006	노무현	국민과 함께 세계로 미래로	1	2	2005년 외교정책 기조	23	bullet	verified	2006 외교백서 제1장.pdf	▶ 로 4대 정책목표를 나열한 뒤 각각을 소제목으로 받는다. 별도로 '2대 혁신과제'(국민만족 영사서비스 체제 구축·선진외교를 위한 조직혁신)를 두는데 기조 항목과는 층이 다르다
2006	2007 외교백서	2007	노무현		1	2	2006년 외교정책 기조	23	roman	partial	2007 외교백서 제1장.pdf	정책목표 Ⅰ~Ⅴ. 각 목표 아래 ①~⑤ 세부과제가 따로 있다. Ⅱ~Ⅴ 본문 인용 미수집
2007	2008 외교백서	2008	노무현		1	2	외교정책 기조	7	circled	partial	2008 외교백서 제1장.pdf	①~⑤ 5개 분야. 본문은 Ⅰ~Ⅴ 로 다시 받는다. 세로쓰기 머리글이 문장을 파고들어 4·5번 미수집
2008	2009 외교백서	2009	이명박	성숙한 세계국가(Global Korea)	1	2	외교정책 기조	18	number	partial	2009 외교백서_제1장.pdf	창조적 실용외교. 1~3번까지 확인, 이후 미수집
2009	2010 외교백서	2010	이명박		1	2	외교정책 기조	18	number	verified	2010 외교백서_제1장.pdf	「우선추진 외교과제」 3개와 「지속추진 외교과제」 5개로 2단 구성한 뒤 본문은 1~6번으로 받는다
